BLOCK;DATETIME;TX;DONAR;DONATION[BTC];DAYSUM[BTC];DAYRATE[AGS/BTC];RELATED_ADDR
277711;2013-12-30 09:46:29 UTC;d67040d21ccdbf4e05b84edacbe2bcb28a0b6ba60ebb7a93a240df209f87d726;1GGt3yaJd99uJs7N3Qa8sqggcU6bU3hMrY;0.5;17.53038927;285.21899446;
277729;2013-12-30 12:25:51 UTC;95436a8b682e46c8bacbc78eccdf4c01ed84d46924d5283d32f7be00ef130a82;1K2qmHwxyZumsfWPWekrEwo62UzvxY6V9m;0.0001;17.53048927;285.21736747;
277733;2013-12-30 12:38:46 UTC;29cd864e465680424c883d5acc51afbbb942fbb675efab85c56ccae765761bff;1GE98UcQNXAzEt11mKp8K8st6x1QbBrh7G;1.49368206;19.02417133;262.82353713;
277739;2013-12-30 13:24:47 UTC;47a0032a7051d776e1d31cf03b4f825cb239662d2d4e37145494897a082ee4b0;17hhaFr5Yfam2SSqBHaMEjNPQTUTcA8T36;0.0019245;19.02609583;262.79695239;
277798;2013-12-30 20:48:08 UTC;ab30c723718973e3b81efc47132d930806c2102a63157e1452e81a5317891fc9;1Cye63cLox59a5J6Dbimb6kfyCKQJSFm71;1.0;20.02609583;249.67422719;
277805;2013-12-30 22:34:26 UTC;1f55e491d3984c16bd0294a3d5e0784fa503d8a411d46dbda52a7639f9f9a1d3;1B6Dg74sC8xDmpA9SQyQxQNZaEuZZsDtuT;1.0;21.02609583;237.79973422;
277812;2013-12-31 00:05:33 UTC;77b6d6c2f21ba18434ef2209576a76ff217fc2ad77dab91b4d89f385cfcdcd00;1nxudrT77xrpRGEjx8EycX2nMPfE7haJw;0.13595;21.16204583;236.27205234;
277858;2013-12-31 05:28:56 UTC;7ac8de3a8115b71b7fa69becf4f7fc5dcb38840f61070a8344f74316272e3a45;1F9AcP5Sap7mM4Hm6yWPxdddmGsQdBMikH;0.08;21.24204583;235.38222448;
277859;2013-12-31 05:43:31 UTC;601d2b24a48d44c8b9f538bb6b0dcfd74f6fa5b03d0952c32b7782364d714c66;1BqCeJjdjCtDZkGcWJCqBxYMt1ei7SaFnF;0.02;21.26204583;235.16081378;
277877;2013-12-31 07:44:31 UTC;870ccf2ecb7067913de1df2610acfb147d283bc71c1a8db4ff6cb83d986b8875;15Dak6X4T1h7EiswEkJvy5Zyx4hbZuFa22;0.001;21.26304583;235.14975418;
277883;2013-12-31 08:43:41 UTC;c53088322eb84ffb68e796178954e104b7a32f639adc1680c80d20ea73abea39;16XdyoGd6kdShHppMZGPZhHaYfLsMkiQcR;0.025;21.28804583;234.87360183;
277884;2013-12-31 09:00:24 UTC;da42712571d2b9d8a49d6a6021f7a3d501da8c97741a2eab8fc732af5a8ba12e;1V98yVjhpiQkewFHFVwfWNG35TtWCeDEA;0.2;21.48804583;232.68751563;
277898;2013-12-31 10:50:20 UTC;931c0b78bffb2a3324ff58c374e1139089b82ec250168af45836852c70e0bc2f;1MdvdB6JYPpKjTyukmSeKptye3rpqEKBco;0.245;21.73304583;230.06439314;
277899;2013-12-31 11:05:18 UTC;7dfe2443520bbd21d3d5ed334da6fdfa5ccac0ca7186c619cab6873c11c975fe;16BuXvDSpEKMaAizkFoeaUaNg8d67GX9be;0.0999;21.83294583;229.01169814;
277915;2013-12-31 13:06:12 UTC;fb6cc75eb4432f4dda495d6603fa6fba6853df6a1749f32b1dc48103883b775d;18mdVPUe5kBSCSudbiccnC3n3iFYo4bnxs;0.5526;22.38554583;223.35841341;
277927;2013-12-31 14:25:23 UTC;f8d4cdcb364cf5fccfb407b402b2d615bec693ded95f0a6c872d70b105dacf91;12kAUYQ4affcZ7LHDX6hL4BnW7TzdPnCdY;3.365;25.75054583;194.17064139;
277929;2013-12-31 14:28:57 UTC;ea6773ccd8853666f85c2ad47fce6a8dd87adb2e14737604d0395fc91d12cf5e;1NtmzSmztyYA7CuUwRJtRxYbj9Ra9Xe5WA;0.1;25.85054583;193.41951357;
