BLOCK;DATETIME;SENDER;DONATION[PTS];SUM[PTS];RATE[AGS/PTS]
"38843";"2014-01-04 16:10:47 UTC";"PjRubytjeqK2LnhEZMsofVHJa7SJKz5wPX";"10.0";"1374.2806746";"3.63826698"
"38844";"2014-01-04 16:11:53 UTC";"Pa2DvNfkUSyfoeF4jwUWs7TuZ5CdZVdZcx";"0.5";"1374.7806746";"3.63694376"
"38847";"2014-01-04 16:20:24 UTC";"PuKLT5hxHk4JrSm9u2TEcv5Y4Bh5Pt8D6V";"6.82972813";"1381.61040273";"3.61896522"
"38849";"2014-01-04 16:27:24 UTC";"Pqt2SBnovz4Q3jFKxgYS9AcnRqsz2DSGeN";"2.0";"1383.61040273";"3.61373403"
"38853";"2014-01-04 16:39:51 UTC";"Peg1VAvREwwgjwnYepJSddm1Hy1DSi3omH";"1.56";"1386.22040273";"3.60693003"
"38853";"2014-01-04 16:39:51 UTC";"Pin8Rirrrc7YxLSonxuRMoKnAoQjJkKxVd";"1.000266";"1386.22040273";"3.60693003"
"38853";"2014-01-04 16:39:51 UTC";"PdjjZKjwwp9oByD2BeQ8kxV7FTR4HnWi4k";"0.049734";"1386.22040273";"3.60693003"
"38861";"2014-01-04 17:03:20 UTC";"Pw5yA7BF5iqKw7yBv6exVZfaDMCiBrSG9S";"2.0";"1388.22040273";"3.60173355"
"38864";"2014-01-04 17:13:00 UTC";"PnrYHrsZcQxHabETusASqRdGTjyVa5WiLd";"2.95";"1391.17040273";"3.59409601"
"38869";"2014-01-04 17:28:04 UTC";"PbTFkKe6qHE9vgt1d8PwPsA54pQuwNyN7x";"0.05";"1391.67040273";"3.59280473"
"38869";"2014-01-04 17:28:04 UTC";"PobS8LFPpyTjaZPzxhSfUpUXs4uoyLij27";"0.45";"1391.67040273";"3.59280473"
"38869";"2014-01-04 17:28:04 UTC";"PnwPWcgnAUq9UJnZkhUkocN64gzScemFcU";"0.1";"1391.77040273";"3.59254658"
"38871";"2014-01-04 17:32:58 UTC";"PnJRBRaFwcFxZtbHwZSDXXbP4qoEm71gjT";"44.892935";"1441.77040273";"3.46795855"
"38871";"2014-01-04 17:32:58 UTC";"Pf3iV8Vh1otHGNS3YMoaoKEu1m8zHDUs2j";"5.085082";"1441.77040273";"3.46795855"
"38871";"2014-01-04 17:32:58 UTC";"Pj54F2LBCUAKB9FF1xnbs8UtqDmLaY6JwX";"0.021983";"1441.77040273";"3.46795855"
"38873";"2014-01-04 17:41:14 UTC";"Pk2L8CtfAeGh9cnaG2B63sMJnSH95cTDDS";"300.0";"1741.77040273";"2.87064242"
"38888";"2014-01-04 18:21:05 UTC";"PhWbYsVKFQAEfABhwQxX6fjdX2GfKtrDGa";"0.01350178";"1941.77040273";"2.57496973"
"38888";"2014-01-04 18:21:05 UTC";"PsoStbxzba4XjhofVz5iJ1szrBz1PMsRyU";"39.6991425";"1941.77040273";"2.57496973"
"38888";"2014-01-04 18:21:05 UTC";"PomLenz5ZHu7Fz3mNQ3u4Ebnk1MjkzgS24";"39.7189825";"1941.77040273";"2.57496973"
"38888";"2014-01-04 18:21:05 UTC";"Pv2vsYffCazYiWp8hp5qkNPvYXnRSZ6A1v";"39.7087095";"1941.77040273";"2.57496973"
"38888";"2014-01-04 18:21:05 UTC";"PapZzakaTArTFSmuRqWLBjBT6PDCZdod1Q";"39.5177225";"1941.77040273";"2.57496973"
"38888";"2014-01-04 18:21:05 UTC";"PfJywQfQZYCpS77XhgQRwkEbxkJ1GRMRS2";"39.6518925";"1941.77040273";"2.57496973"
"38888";"2014-01-04 18:21:05 UTC";"PrQGDentBJeJ9MuSYQ2ScMjfPWoPi9xrRm";"1.69004872";"1941.77040273";"2.57496973"
"38888";"2014-01-04 18:21:05 UTC";"PYrjnRobhVgRfeUu8qA3AoCcqboFkbM7Qw";"1.5299884";"1943.30039113";"2.57294241"
"38893";"2014-01-04 18:39:28 UTC";"PoUW4wXu3FaufhG8Fg85XfUyVii4NcAxsR";"21.665";"1966.62539113";"2.54242624"
"38893";"2014-01-04 18:39:28 UTC";"PmHrEQzBFTTmwQZ7cR5YtNeoXyFKgP777n";"1.66";"1966.62539113";"2.54242624"
"38893";"2014-01-04 18:39:28 UTC";"PbCZqytBVpcogb84LqjSotJACx2Q4jBsmB";"1.0";"1967.62539113";"2.54113411"
"38895";"2014-01-04 18:44:50 UTC";"Pipv8ca5rqLVG7EnfH26EMoR4MBoETc6nS";"0.5";"1968.12539113";"2.54048854"
"38917";"2014-01-04 19:38:18 UTC";"PcNtXKfc4CZ7hEFAecAtdNmiQqBkGHgAJG";"0.999";"1969.12439113";"2.53919967"
"38921";"2014-01-04 19:46:50 UTC";"PokVwdh2qSXDGwkkCMKa1wBKEwR47LF7rJ";"20.0";"1989.12439113";"2.51366884"
"38922";"2014-01-04 19:48:02 UTC";"PYPru4QiRCVE9qAsjqzZ54tRbsMNDCQ6c3";"100.0";"2089.12439113";"2.39334719"
"38935";"2014-01-04 20:20:51 UTC";"PkKPzp2NUjhu2xLx7bREu7K6J1cNjYSma5";"20.0";"2109.12439113";"2.37065202"
"38937";"2014-01-04 20:26:32 UTC";"PaNGEL3ntC2djvBUyVeMDqvgwkLQk5Jooc";"0.55555555";"2109.67994668";"2.37002774"
"38940";"2014-01-04 20:31:22 UTC";"PvGMJAjWeVxJRZveZtdPcyTv2A4myjqWxZ";"40.7253125";"2309.67994668";"2.1648021"
"38940";"2014-01-04 20:31:22 UTC";"PkuTRy4HSU6amTKhBkEgaPgFGAacUF3bAu";"39.8196165";"2309.67994668";"2.1648021"
"38940";"2014-01-04 20:31:22 UTC";"PZ9zooJfLUpBBfbQ2dztKuK999ThQFkDUH";"39.7860725";"2309.67994668";"2.1648021"
"38940";"2014-01-04 20:31:22 UTC";"PdHUXZtgnt1f8zL1UggUF7HZ3g67g2D12e";"40.2556925";"2309.67994668";"2.1648021"
"38940";"2014-01-04 20:31:22 UTC";"Ps6pEaYXVY6fC5GMbPUG54prtYyfJuqnTv";"39.3932235";"2309.67994668";"2.1648021"
"38940";"2014-01-04 20:31:22 UTC";"PiBJ1WLz5x86pSCZwyTYVYLLdjBKp2mH1Q";"0.01046252";"2309.67994668";"2.1648021"
"38940";"2014-01-04 20:31:22 UTC";"PYBfpUA6TUrRZkiP4gdEhh9hKhPr8UqaZ6";"0.00961998";"2309.67994668";"2.1648021"
"38944";"2014-01-04 20:42:38 UTC";"PvPDA6TvpoqF4tXyDC5SVmUVpSvy8fhhe2";"0.01234567";"2309.69229235";"2.16479053"
"38973";"2014-01-04 22:15:03 UTC";"PhLydLQtJyoUkYF1u5BAY7jDY8xqEfxCVF";"10.0";"2319.69229235";"2.1554583"
"38990";"2014-01-04 23:11:07 UTC";"Pdx83zK5s6YGSfbKiaRoqU8XkExSqhNYTZ";"0.011";"2319.70329235";"2.15544808"
"38996";"2014-01-04 23:31:40 UTC";"PYy1heniCgkaT88krNkjxZUP8FR5UviSwK";"16.8";"2336.50329235";"2.13994991"
"38998";"2014-01-04 23:39:34 UTC";"PYnr6JFiWV4gUN8KFqQWQFo5LHavyLxEja";"10.0";"2346.50329235";"2.13083017"
"39001";"2014-01-04 23:47:22 UTC";"PhKsobyZQ45JadhYNdEGvMMyjhxuSotTcU";"39.3648675";"2546.50329235";"1.96347675"
"39001";"2014-01-04 23:47:22 UTC";"PohJmJGgHVTk7QfLmGBMuhr6J2e8cj8N3R";"39.3292475";"2546.50329235";"1.96347675"
"39001";"2014-01-04 23:47:22 UTC";"PaWt2xhR2JpkgK1mBQpZ1xoU1Cvn9j74kV";"39.0954755";"2546.50329235";"1.96347675"
"39001";"2014-01-04 23:47:22 UTC";"Po2M95LRGxxJYiMYa4DBR5JvB4kdiCLHwf";"34.36448687";"2546.50329235";"1.96347675"
"39001";"2014-01-04 23:47:22 UTC";"PcNrwKLdfUXGfkr6oaAqCpvERyaWfFk8nE";"38.9592255";"2546.50329235";"1.96347675"
"39001";"2014-01-04 23:47:22 UTC";"PsiUzyktU5qMjMu4NQahw8F8EcZGeKoUF7";"8.88669713";"2546.50329235";"1.96347675"
"39001";"2014-01-04 23:47:22 UTC";"PkVUbjnZtvRAVrRiP49NNT3PH393WQyXLG";"100.0";"2646.50329235";"1.88928539"
"39001";"2014-01-04 23:47:22 UTC";"PgSPcGJMnwSHwZCenFuGxdSRaaYBBNby6e";"30.0";"2676.50329235";"1.86810904"
"39004";"2014-01-04 23:54:26 UTC";"PqPZ5WTBEzvzogPuQ7JULLTHNTC5hhPJm8";"3.7816";"2681.50329235";"1.86462572"
"39004";"2014-01-04 23:54:26 UTC";"PnoWfSqtURRHUyGqYdBiRSs2oJP5e6tERn";"0.3265";"2681.50329235";"1.86462572"
"39004";"2014-01-04 23:54:26 UTC";"PiDfaxwg5MyQ68te8wLVX5qfymo7kWz5gi";"0.2581";"2681.50329235";"1.86462572"
"39004";"2014-01-04 23:54:26 UTC";"PoauvyoCFLjNwfhLgXVUhkN4qeEr9MaJjh";"0.0587";"2681.50329235";"1.86462572"
"39004";"2014-01-04 23:54:26 UTC";"PvJcVscw8rw7dCsworqW2w4ciKWjkjizei";"0.5751";"2681.50329235";"1.86462572"
"39008";"2014-01-05 00:10:09 UTC";"PhEjBthkv59tW8ewX1p9zd77HU5jw71zST";"20.0";"20.0";"250.0"
"39015";"2014-01-05 00:19:27 UTC";"Pqfw29sQ8D9gpgPUMMWRXSj3rzrg8zS4cE";"0.48038486";"20.5002422";"243.89955744"
"39015";"2014-01-05 00:19:27 UTC";"PunRwGezDRHsgzRsoKGTVZCBRy2jkD6AkX";"0.01985734";"20.5002422";"243.89955744"
"39020";"2014-01-05 00:33:47 UTC";"PcFqDFPC6kd74VcMAHuF82ef5AP7koEWNQ";"12.9396";"40.5002422";"123.45605183"
"39020";"2014-01-05 00:33:47 UTC";"Pvw5u6QQBoVt52i5CuDJnWc7EHyjQc4ziU";"7.0604";"40.5002422";"123.45605183"
"39020";"2014-01-05 00:33:47 UTC";"Ps2qp9pR3JELZYAfueBLddSHS5JfBdiS4B";"1.0";"41.5002422";"120.48122456"
"39043";"2014-01-05 01:30:56 UTC";"PkAR4TeGY8org39Gwd5WP6VPRGreCjzCMw";"10.0";"51.5002422";"97.08692205"
"39057";"2014-01-05 02:01:18 UTC";"Ps77j1EwoZ7YcZkZGRzVGRRhWD7BadkaiT";"0.98";"52.4802422";"95.27395055"
"39066";"2014-01-05 02:16:01 UTC";"Pby3QnnUhh8B4oVE3WuRw4M9yoE1hH3kV4";"30.0";"82.4802422";"60.62057854"
"39070";"2014-01-05 02:25:26 UTC";"PgLzTWtVkwRDameohXazhCDQsbCZtureV5";"39.4278055";"332.4802422";"15.0384876"
"39070";"2014-01-05 02:25:26 UTC";"PiWLY6i4mknmpX4GzHvSDYJqsq7GVXeSfC";"38.69244687";"332.4802422";"15.0384876"
"39070";"2014-01-05 02:25:26 UTC";"PuxUF1kPnQbeyXvtKD6ZBa8cGMSiMNiwqY";"39.3901115";"332.4802422";"15.0384876"
"39070";"2014-01-05 02:25:26 UTC";"PvwHEk6NniDsAkfw8W51GVji4XqvXXb1rk";"38.69264687";"332.4802422";"15.0384876"
"39070";"2014-01-05 02:25:26 UTC";"Pt3hbsmbKkczfJa1hZU3TqGpFYxGgve1SG";"39.1774335";"332.4802422";"15.0384876"
"39070";"2014-01-05 02:25:26 UTC";"Po4ErCQcpormUWsysHPAwVoFWcYxxGre3F";"38.69114687";"332.4802422";"15.0384876"
"39070";"2014-01-05 02:25:26 UTC";"PaTyhW2DxeZjDradquXoL5c8Rp4aSsTKMk";"15.92840889";"332.4802422";"15.0384876"
"39070";"2014-01-05 02:25:26 UTC";"PtsbicEPa8Ert2bnEhauYfKToDHYMfE51H";"20.0";"352.4802422";"14.18519225"
"39074";"2014-01-05 02:28:45 UTC";"PcVZnqyKNccaNUm7Pvb7Pr5ku733oNqgS9";"10.0";"362.4802422";"13.79385527"
"39080";"2014-01-05 02:51:31 UTC";"PuwK6ANGJRvYoYbaXtvzWamZBcdDrFAJik";"14.27250002";"462.4802422";"10.81127266"
"39080";"2014-01-05 02:51:31 UTC";"Pcr9yRyr2WvqZTWTERzmrTNMEQnWJY2pco";"85.72749998";"462.4802422";"10.81127266"
"39080";"2014-01-05 02:51:31 UTC";"PssVXspyKHedn3qgdWNuA3NYYLX4WmhufR";"1.0";"463.4802422";"10.78794638"
"39081";"2014-01-05 02:52:47 UTC";"Pu7ke32XosWzENR2HCbZ5L43ABe1xeQwg8";"0.1";"463.5802422";"10.78561928"
"39082";"2014-01-05 02:53:27 UTC";"Pk79Go1zrnEzpgDVYyaJMAXqFQ7xXfZdVd";"0.1";"463.6802422";"10.78329319"
"39086";"2014-01-05 03:03:46 UTC";"Pipf9V1vRjhKjXg8o3rHgBbb1T1xvLzVy1";"0.1566";"463.8368422";"10.77965255"
"39088";"2014-01-05 03:12:05 UTC";"PmC3Ycmir1CL4SaC1E37PcYeDTqPMZc2gV";"0.02";"463.8568422";"10.77918777"
"39102";"2014-01-05 03:51:21 UTC";"PvsT5bumSviY8vnSQWUk5f4EThcevThQky";"0.0098";"463.8666422";"10.77896004"
"39108";"2014-01-05 04:06:01 UTC";"PjEwaTLiaCV2Zev1gDR5RnoaP5FRt9qwf7";"1.0";"464.8666422";"10.75577283"
"39112";"2014-01-05 04:34:09 UTC";"PeVVszuTGrLAgj5392ZMVnHDtuF3kxKWpe";"0.125";"464.9916422";"10.75288144"
"39114";"2014-01-05 04:42:23 UTC";"PvUeXsELaD7N7rmEGpTHJrZJ4ZApHHo4bR";"5.0";"469.9916422";"10.63848705"
"39120";"2014-01-05 04:58:48 UTC";"Pqsgq9YcQSd9Z54CH8RL292d5rZpb8v3f6";"2.0";"471.9916422";"10.59340792"
"39124";"2014-01-05 05:10:02 UTC";"PbA6RHJj5eBSpbKjg9Nqq8tbx3j3pmFt9P";"1.001";"472.9926422";"10.57098896"
"39128";"2014-01-05 05:17:25 UTC";"Pfvds1tm8eq5bhUNHGx3usewCgiUUE8igA";"39.0190525";"672.9926422";"7.42950173"
"39128";"2014-01-05 05:17:25 UTC";"PbQX2dwKYEHZc2yUedvrsQRnJDgoB1bov5";"38.69034687";"672.9926422";"7.42950173"
"39128";"2014-01-05 05:17:25 UTC";"Pas1gtcq1QQJDVUY5VBZ3XM6D7nHFQJmW4";"39.6991425";"672.9926422";"7.42950173"
"39128";"2014-01-05 05:17:25 UTC";"PZ8rHZPXcfoPKvHn8BAL85TagjKFdkKxqn";"38.7069525";"672.9926422";"7.42950173"
"39128";"2014-01-05 05:17:25 UTC";"PsTbtas8tuGjT9XbKUdcHup6PNEQbqUyDc";"38.69144687";"672.9926422";"7.42950173"
"39128";"2014-01-05 05:17:25 UTC";"PuHRn2aJijRgKCjVb6jyPvdnaUkhf8HjpC";"5.19305876";"672.9926422";"7.42950173"
"39137";"2014-01-05 05:46:03 UTC";"PtfY5sCg4ysatBwxk7tJPjjvbNcsAcj2xE";"0.99";"673.9926422";"7.41847861"
"39137";"2014-01-05 05:46:03 UTC";"PiF7ZHEpnFDuj25YVgVECZsTGvxxyqtqwe";"0.01";"673.9926422";"7.41847861"
"39146";"2014-01-05 06:11:21 UTC";"Pn9NTLwkoijLtU2QQJqSxmGzDWPy9fQQLR";"0.25";"674.2426422";"7.41572794"
"39162";"2014-01-05 06:53:32 UTC";"PerEro3ZBwqCJwQ9MAqhGvmcxZL6qQH2r6";"250.0";"924.2426422";"5.40983479"
"39167";"2014-01-05 07:04:24 UTC";"PnJRBRaFwcFxZtbHwZSDXXbP4qoEm71gjT";"48.949184";"974.2426422";"5.1321917"
"39167";"2014-01-05 07:04:24 UTC";"Pmn92gLnpVLXwsnj2XU6qAeh28FAkQScdC";"1.050816";"974.2426422";"5.1321917"
"39172";"2014-01-05 07:23:00 UTC";"PvBqxYtaY9LpQF1JCG7AsGSv3QRV7dBYVG";"1.5";"975.7426422";"5.12430203"
"39174";"2014-01-05 07:29:13 UTC";"PvrjbJtmnP7UFQDMq2qHnMJ8vTGtJtt6WQ";"0.01101431";"975.9426422";"5.1232519"
"39174";"2014-01-05 07:29:13 UTC";"PpsXHowsbTjUqp4Kz1FhE3m5kPdkfzmwmM";"0.18898569";"975.9426422";"5.1232519"
"39190";"2014-01-05 07:59:03 UTC";"Pt6TRUGHxWMA1wGtbBiiRuftKFDD5CvSRk";"1.0";"976.9426422";"5.11800774"
"39198";"2014-01-05 08:20:13 UTC";"Pc7HwGba6XaF4VviouoERuCcrePQBJJPWi";"38.8544405";"1276.9426422";"3.91560265"
"39198";"2014-01-05 08:20:13 UTC";"PiC7HqZShT8mebCAFzpr6HBgSLTKj3h4TG";"38.68934687";"1276.9426422";"3.91560265"
"39198";"2014-01-05 08:20:13 UTC";"PfYwBR6CdikrVrBh19rWRZzbEuQSipsjbR";"39.4170825";"1276.9426422";"3.91560265"
"39198";"2014-01-05 08:20:13 UTC";"PvSo8mYtrHeipDTHui7URVHbKSZrQewvjR";"38.69044687";"1276.9426422";"3.91560265"
"39198";"2014-01-05 08:20:13 UTC";"PcveyRYhisfoBk711k1sGjUdpu7sdmh9cg";"38.7140365";"1276.9426422";"3.91560265"
"39198";"2014-01-05 08:20:13 UTC";"PvqBq6A9nW6SYe54qgKAGyHfksdeWo6NZG";"38.69094687";"1276.9426422";"3.91560265"
"39198";"2014-01-05 08:20:13 UTC";"PkPBRNrabTpj7g8mSpv7dDB1sv94GCtm1W";"34.43778687";"1276.9426422";"3.91560265"
"39198";"2014-01-05 08:20:13 UTC";"PuKi5yR3pXdCJb4rAPyDpwukjTqbN4n4EN";"32.50591302";"1276.9426422";"3.91560265"
"39208";"2014-01-05 08:48:59 UTC";"PtLiyRBHaxpqNGvRd6m2tVsru6PjCGQca7";"1.0";"1277.9426422";"3.91253867"
"39239";"2014-01-05 10:17:03 UTC";"PmxWf6A2mHm9DKknST2UhvrdN1THViegst";"0.55";"1278.4926422";"3.91085551"
"39285";"2014-01-05 12:17:57 UTC";"Pnd86w3rnx8aHfDC3aWk6zEVvfKaukELYG";"0.1";"1278.5926422";"3.91054964"
"39287";"2014-01-05 12:26:04 UTC";"PavQ6UvMsJdLUeHkXUKLTjzN5x8tSjVEg5";"0.1";"1278.6926422";"3.91024382"
"39290";"2014-01-05 12:32:33 UTC";"PfH38RzyvhrdRNkb1eafr8CahPX6Jvrcar";"0.391";"1279.0836422";"3.90904851"
"39292";"2014-01-05 12:42:35 UTC";"Pte9qDpQfgkSUAreRsA5ZmNnx1hseFgtPU";"0.01";"1279.0936422";"3.90901794"
"39293";"2014-01-05 12:52:41 UTC";"Pj9F2ooTAGD314Xw7KZ228Yegiut84HUnb";"0.1";"1279.1936422";"3.90871236"
"39294";"2014-01-05 12:54:00 UTC";"Pfe4wLLVGNwdJWcbcjPCv4RxK5Yo9z7LWC";"1.0086318";"1280.202274";"3.90563281"
"39297";"2014-01-05 13:00:49 UTC";"PnNXD77M2NmUPHHofjnFK4HvJD2Rz7Jifo";"20.0";"1300.202274";"3.8455555"
"39297";"2014-01-05 13:00:49 UTC";"Pm84r55aVrK4p1cKtrD5ytA3inKz4x9rwK";"0.1";"1300.302274";"3.84525975"
"39312";"2014-01-05 13:23:40 UTC";"PYd5nW9heCcLkmgLNDBGxXim6X6oNBk7TT";"3.0";"1303.302274";"3.83640856"
"39314";"2014-01-05 13:25:59 UTC";"Ph3hw9fLcTnMZCgQBsHMXqhqhzvQxuaRpW";"0.3272";"1303.636674";"3.83542447"
"39314";"2014-01-05 13:25:59 UTC";"Pc8VnVTVqBuwNFjKxrgGufWYC7poyaimb1";"0.0072";"1303.636674";"3.83542447"
"39319";"2014-01-05 13:42:20 UTC";"PhVTv8M8BQXcu8PXJvQgUcf7jd9FVfmCH2";"0.01";"1303.646674";"3.83539505"
"39320";"2014-01-05 13:43:38 UTC";"PnaN8U5vb7v4QSFnK2SaHxX27VP79WqmKA";"0.2";"1303.846674";"3.83480673"
"39325";"2014-01-05 14:03:56 UTC";"Pk7EDFY5GKwGnE2VoKAVVeP32zZ4PW5ChD";"0.01";"1304.746674";"3.83216152"
"39325";"2014-01-05 14:03:56 UTC";"PfHUdfBKW8X7rnW5xjQosLPfhzikzj1woc";"0.501011";"1304.746674";"3.83216152"
"39325";"2014-01-05 14:03:56 UTC";"PtWMbEzJnLYcfQZX9MR66vnVVJxZD4w4VD";"0.388989";"1304.746674";"3.83216152"
"39326";"2014-01-05 14:05:44 UTC";"PaoJXg3x1xfPaZAVrP4Bk8NHWCJC6DdQ24";"1.0";"1305.746674";"3.82922668"
"39329";"2014-01-05 14:23:31 UTC";"PmCzugtBgfmktMN4gxEZPpG8PCGAfRdFPr";"3.0";"1308.746674";"3.82044906"
"39330";"2014-01-05 14:25:20 UTC";"Phvns91k4qck9t2CTZEHci5q6pbJFXN8rF";"0.05";"1308.796674";"3.82030311"
"39332";"2014-01-05 14:30:48 UTC";"Phvns91k4qck9t2CTZEHci5q6pbJFXN8rF";"0.9899";"1309.786574";"3.81741583"
"39348";"2014-01-05 15:06:05 UTC";"PqjsHvt6vMWkPQUNTcNp4MfgVbQZuZWgWK";"1.0";"1310.786574";"3.81450352"
"39348";"2014-01-05 15:06:05 UTC";"Pq2zts8BWT77xC3f6B7BbD93VtE482Tpji";"0.9286";"1311.715174";"3.81180313"
"39350";"2014-01-05 15:09:34 UTC";"PnypwpZiURgXdQeyZTx96qHGfuJ4nLJjLA";"150.0";"1461.715174";"3.42063905"
"39355";"2014-01-05 15:20:02 UTC";"PnU1E4oKa28iFuRGvrznrdGEFmoakYZ35f";"0.5";"1462.215174";"3.41946937"
"39357";"2014-01-05 15:25:30 UTC";"Pfe4wLLVGNwdJWcbcjPCv4RxK5Yo9z7LWC";"0.00255577";"1462.21772977";"3.41946339"
"39357";"2014-01-05 15:25:30 UTC";"Pfe4wLLVGNwdJWcbcjPCv4RxK5Yo9z7LWC";"0.00979993";"1462.2275297";"3.41944048"
"39374";"2014-01-05 16:17:57 UTC";"PpWAxdjkj6Cxa44Ugswg2Y7qz3VdbycEAw";"3.0";"1465.2275297";"3.4124393"
"39374";"2014-01-05 16:17:57 UTC";"PjGjSgFYQhmTdSY4vM4vidSd5k8dPCSqnF";"0.46";"1467.6575297";"3.40678932"
"39374";"2014-01-05 16:17:57 UTC";"Ph5v1rVkbkAYW91yqE9vPdkfZ7Wm2zFHXA";"1.97";"1467.6575297";"3.40678932"
"39380";"2014-01-05 16:44:53 UTC";"PoMRgXeE5oReJS5Yur51Kt8suHVQ2U5dKL";"38.68934687";"1667.6575297";"2.99821751"
"39380";"2014-01-05 16:44:53 UTC";"PpWVRTmwYPNeASx95qJ4EjLxQBwYEtXkSm";"38.68934687";"1667.6575297";"2.99821751"
"39380";"2014-01-05 16:44:53 UTC";"PpeTnNZ9BvJ9LKmSq1istue7U8eAv8d22b";"39.1383555";"1667.6575297";"2.99821751"
"39380";"2014-01-05 16:44:53 UTC";"PoST8kJRL4fRiArTtWKo88pTGuHvKwjLM8";"38.69014687";"1667.6575297";"2.99821751"
"39380";"2014-01-05 16:44:53 UTC";"Pcc2QTYyJ9Dmi3TufNAZu6eQ17raNNXgHw";"38.69024687";"1667.6575297";"2.99821751"
"39380";"2014-01-05 16:44:53 UTC";"PoCNhghtjsSpfHpkXGcAsSUwNY5RLxVVMZ";"6.10255702";"1667.6575297";"2.99821751"
"39380";"2014-01-05 16:44:53 UTC";"PjRubytjeqK2LnhEZMsofVHJa7SJKz5wPX";"5.0";"1672.6575297";"2.98925507"
"39380";"2014-01-05 16:44:53 UTC";"Pf2HhYYXeGgCVpn5kZgji49bxyGi5vf5Yk";"0.52";"1673.1775297";"2.98832605"
"39390";"2014-01-05 17:19:22 UTC";"Pig6BWb2CeQKAjbBaxkKWCHfiPgjxaZi4N";"0.9934";"1674.1775297";"2.9865411"
"39390";"2014-01-05 17:19:22 UTC";"PY2UAMEnAgw9XeEoMibBrzPmiMBo4y6cn5";"0.0066";"1674.1775297";"2.9865411"
"39395";"2014-01-05 17:36:08 UTC";"PbjLAcq83A1j2kRtYwhLkvifGdRyo3dYQA";"300.0";"1974.1775297";"2.53270029"
"39395";"2014-01-05 17:36:08 UTC";"Pfb5mpsmCGyZiV6FPWEx9RnXdxvpgfuyGM";"100.0";"2074.1775297";"2.41059404"
